,vvs_id,Elapsed,percent_depleted,product_vends,average_daily_sales,ExpMachine,rank_ads
1231,708994,7.0,17.2118,97.0,11.9008,0,0.43593519882179677
1232,711583,7.0,23.9243,119.0,11.9345,0,0.43593519882179677
1233,714117,7.0,29.7763,134.0,12.0216,0,0.43593519882179677
1234,716687,7.0,24.957,99.0,11.9734,0,0.43593519882179677
1235,719277,7.0,27.0224,140.0,12.077,0,0.43593519882179677
1236,721456,7.0,24.7849,73.0,11.9519,0,0.43593519882179677
1237,724225,7.0,23.7522,115.0,11.9684,0,0.43593519882179677
1238,726971,7.0,26.6782,89.0,11.9,0,0.43593519882179677
1239,729883,7.0,32.3581,161.0,12.031,0,0.43593519882179677
1240,732540,7.0,36.1446,113.0,12.0409,0,0.43593519882179677
1241,735207,7.0,26.334,128.0,12.0816,0,0.43593519882179677
1242,737926,7.0,27.7109,108.0,12.069,0,0.43593519882179677
1243,740532,7.0,27.5388,132.0,12.1252,0,0.43593519882179677
1244,743212,7.0,32.0138,125.0,12.1502,0,0.43593519882179677
1245,745978,7.0,23.408,86.0,12.0785,0,0.43593519882179677
1246,748780,7.0,22.2031,92.0,12.0218,0,0.43593519882179677
1247,751460,7.0,30.2926,109.0,12.0103,0,0.43593519882179677
1248,753386,7.0,22.2031,79.0,11.9303,0,0.43593519882179677
1249,755922,7.0,24.4407,86.0,11.8761,0,0.43593519882179677
1250,758612,7.0,24.7849,102.0,11.8505,0,0.43593519882179677
1251,761267,7.0,23.7522,84.0,11.7889,0,0.43593519882179677
1252,763129,7.0,18.7608,63.0,11.683,0,0.43593519882179677
1253,764784,7.0,19.2772,53.0,11.562,0,0.43593519882179677
1254,767409,7.0,26.6782,81.0,11.501,0,0.43593519882179677
1255,769862,7.0,27.5388,77.0,11.4398,0,0.43593519882179677
1256,772540,7.0,28.0551,89.0,11.3991,0,0.43593519882179677
1257,775214,7.0,29.2599,106.0,11.3948,0,0.43593519882179677
1258,777876,7.0,35.6283,110.0,11.3971,0,0.43593519882179677
1259,780572,7.0,33.5629,107.0,11.3958,0,0.43593519882179677
1260,783319,7.0,21.3426,83.0,11.3502,0,0.43593519882179677
1261,785936,7.0,22.5474,96.0,11.3325,0,0.43593519882179677
1262,788692,7.0,25.4734,99.0,11.3192,0,0.43593519882179677
1263,791349,7.0,30.1205,122.0,11.3483,0,0.43593519882179677
1264,794083,7.0,32.1859,116.0,11.3684,0,0.43593519882179677
1265,796741,7.0,25.6455,103.0,11.3673,0,0.43593519882179677
1266,799480,7.0,32.1859,155.0,11.4563,0,0.43593519882179677
1267,802247,7.0,30.809,116.0,11.4732,0,0.43593519882179677
1268,805081,7.0,32.5302,146.0,11.5459,0,0.43593519882179677
1269,807927,7.0,37.1773,139.0,11.6019,0,0.43593519882179677
1270,810914,7.0,29.2599,126.0,11.631,0,0.43593519882179677
1271,813633,7.0,27.3667,140.0,11.6812,0,0.43593519882179677
1272,816397,7.0,36.8331,159.0,11.7606,0,0.43593519882179677
1273,819106,7.0,28.5715,107.0,11.7583,0,0.43593519882179677
1274,821165,7.0,17.3839,98.0,11.7396,0,0.43593519882179677
1275,823876,7.0,29.0878,145.0,11.7936,0,0.43593519882179677
1276,826557,7.0,37.6937,137.0,11.8354,0,0.43593519882179677
1277,829320,7.0,32.8744,137.0,11.8773,0,0.43593519882179677
1278,831898,7.0,43.3735,175.0,11.9719,0,0.43593519882179677
1279,834550,7.0,38.0379,127.0,11.9966,0,0.43593519882179677
1280,836711,7.0,14.1136,94.0,11.9751,0,0.43593519882179677
1281,839275,7.0,19.2772,157.0,12.0442,0,0.43593519882179677
1282,842013,7.0,29.9484,132.0,12.0715,0,0.43593519882179677
1283,844656,7.0,16.6954,100.0,12.0597,0,0.43593519882179677
1284,847266,7.0,12.5646,127.0,12.0801,0,0.43593519882179677
1285,849881,7.0,23.0637,132.0,12.1018,0,0.43593519882179677
1286,852455,7.0,25.3013,136.0,12.1317,0,0.43593519882179677
1287,855064,7.0,25.6455,126.0,12.1493,0,0.43593519882179677
1288,857063,7.0,15.8348,96.0,12.1284,0,0.43593519882179677
1289,859779,7.0,20.482,130.0,12.1482,0,0.43593519882179677
1290,862470,7.0,33.5629,144.0,12.1868,0,0.43593519882179677
1291,865138,7.0,27.3667,112.0,12.1814,0,0.43593519882179677
1292,867900,7.0,17.556,120.0,12.1906,0,0.43593519882179677
1293,870711,7.0,28.3994,141.0,12.2174,0,0.43593519882179677
1294,873467,7.0,25.6455,129.0,12.2342,0,0.43593519882179677
1295,876129,7.0,26.5061,126.0,12.2465,0,0.43593519882179677
1296,878864,7.0,18.2445,102.0,12.231,0,0.43593519882179677
1297,881702,7.0,20.9983,108.0,12.2238,0,0.43593519882179677
1298,884472,7.0,27.7109,123.0,12.2334,0,0.43593519882179677
1299,887091,7.0,24.6128,103.0,12.2223,0,0.43593519882179677
1300,888828,7.0,12.3925,78.0,12.1843,0,0.43593519882179677
1301,891398,7.0,18.5032,116.0,12.1888,0,0.43593519882179677
1302,894078,7.0,35.1352,134.0,12.2114,0,0.43593519882179677
1303,896648,7.0,48.4408,71.0,12.1657,0,0.43593519882179677
1304,898605,6.0,9.7714,66.0,12.1331,0,0.43593519882179677
1305,900171,7.0,11.2267,24.0,12.0386,0,0.43593519882179677
1306,902475,8.0,23.2849,78.0,11.9894,0,0.43593519882179677
1307,905087,7.0,24.9481,113.0,11.9926,0,0.43593519882179677
1308,907432,7.0,31.1851,119.0,12.0023,0,0.43593519882179677
1309,909874,7.0,35.551,142.0,12.0366,0,0.43593519882179677
1310,912272,7.0,30.9772,105.0,12.0328,0,0.43593519882179677
1311,914558,7.0,16.6321,93.0,12.0141,0,0.43593519882179677
1312,916758,7.0,17.2558,112.0,12.0128,0,0.43593519882179677
1313,919080,7.0,16.2163,91.0,11.993,0,0.43593519882179677
1314,921357,7.0,20.5822,101.0,11.9855,0,0.43593519882179677
1315,923656,7.0,22.4533,84.0,11.9596,0,0.43593519882179677
1316,926015,7.0,16.84,89.0,11.9375,0,0.43593519882179677
1317,928242,7.0,16.6321,79.0,11.9084,0,0.43593519882179677
1318,930474,7.0,21.8296,111.0,11.9088,0,0.43593519882179677
1319,932753,7.0,30.5614,114.0,11.9125,0,0.43593519882179677
1320,935062,7.0,32.8483,118.0,11.9205,0,0.43593519882179677
1321,937359,7.0,23.9086,102.0,11.9135,0,0.43593519882179677
1322,939691,7.0,25.5718,129.0,11.9324,0,0.43593519882179677
1323,941955,7.0,29.7298,110.0,11.9324,0,0.43593519882179677
1324,944235,7.0,25.7797,125.0,11.9447,0,0.43593519882179677
1325,946451,7.0,27.6508,115.0,11.95,0,0.43593519882179677
1326,948258,7.0,25.9876,100.0,11.9422,0,0.43593519882179677
1327,950404,7.0,20.3743,111.0,11.9436,0,0.43593519882179677
1328,952543,7.0,32.6404,143.0,11.9704,0,0.43593519882179677
